39,897,3000002
111,1100,3000002
350,469,3000002
502,324,3000002
537,486,3000002
540,139,3000002
457,1218,3000012
339,468,3000012
263,1091,3000012
726,328,3000023
394,448,3000023
496,124,3000023
479,244,3000023
781,1211,3000033
420,1235,3000033
647,129,3000043
674,1240,3000043
274,1163,3000043
39,897,3000053
184,899,3000053
587,1224,3000053
116,1104,3000053
647,129,3000064
457,1218,3000064
124,706,3000064
494,358,3000074
594,1055,3000074
274,1163,3000074
365,1163,3000074
343,65,3000084
385,167,3000084
480,1073,3000084
589,326,3000084
545,584,3000094
332,77,3000094
354,1227,3000094
393,189,3000094
775,448,3000104
122,578,3000104
419,143,3000104
526,989,3000104
671,171,3000104
93,755,3000104
146,1085,3000115
288,257,3000115
343,65,3000115
459,322,3000115
480,1073,3000115
511,116,3000115
545,584,3000115
594,1055,3000125
760,139,3000125
69,1256,3000125
671,171,3000135
333,241,3000135
488,212,3000135
526,989,3000135
582,778,3000135
393,189,3000135
21,410,3000145
599,1242,3000145
69,1256,3000145
108,547,3000145
378,977,3000145
456,1246,3000145
529,138,3000156
717,1206,3000156
157,1091,3000156
166,313,3000156
365,1163,3000156
525,1235,3000156
21,410,3000166
225,1092,3000166
347,1187,3000166
488,212,3000166
591,1263,3000176
400,190,3000186
404,137,3000197
431,1072,3000197
214,1267,3000207
21,410,3000217
618,1067,3000227
437,1072,3000227
21,410,3000238
382,287,3000238
420,1236,3000238
443,287,3000238
790,290,3000238
280,287,3000248
492,484,3000258
285,285,3000258
437,1072,3000258
439,139,3000258
543,135,3000258
21,410,3000268
244,403,3000268
499,1220,3000268
296,516,3000268
340,276,3000279
506,303,3000279
512,319,3000279
618,1067,3000279
217,377,3000279
492,484,3000279
543,135,3000289
71,349,3000289
296,516,3000289
503,301,3000289
499,1220,3000289
370,265,3000299
550,1073,3000299
285,285,3000299
29,152,3000309
675,1191,3000309
506,303,3000320
387,189,3000320
541,53,3000320
29,152,3000320
504,186,3000330
65,1180,3000330
709,107,3000340
389,285,3000340
405,239,3000350
743,459,3000350
113,1184,3000350
549,1219,3000350
671,23,3000360
483,405,3000360
775,493,3000360
613,1263,3000371
156,46,3000371
65,1180,3000371
405,239,3000371
501,1130,3000381
483,405,3000381
720,1101,3000391
485,481,3000391
499,147,3000391
372,1071,3000401
506,1073,3000401
722,1179,3000401
526,164,3000401
113,1184,3000412
366,101,3000412
157,473,3000422
483,405,3000422
487,210,3000422
745,1209,3000422
254,1198,3000422
318,1279,3000422
542,1217,3000432
575,258,3000432
106,1193,3000432
366,101,3000432
457,1218,3000432
158,662,3000442
309,1077,3000442
421,138,3000453
201,505,3000453
372,1071,3000453
723,1142,3000453
318,383,3000453
318,1279,3000453
326,245,3000453
350,928,3000463
425,1024,3000463
483,405,3000463
538,1204,3000463
620,1180,3000463
421,138,3000463
309,1077,3000473
322,252,3000473
440,66,3000473
449,480,3000483
553,137,3000483
575,328,3000483
420,471,3000483
539,277,3000483
372,1071,3000483
457,1218,3000494
533,277,3000494
756,506,3000494
56,719,3000494
345,438,3000494
545,578,3000494
689,326,3000504
607,1152,3000504
318,383,3000504
239,601,3000504
436,187,3000514
57,921,3000514
689,326,3000514
381,145,3000524
239,601,3000524
757,524,3000524
462,168,3000524
318,383,3000524
352,173,3000524
433,167,3000535
408,1075,3000535
671,171,3000535
436,187,3000535
115,1147,3000535
710,534,3000545
553,137,3000545
469,1235,3000545
